key,purity_oracle_area,purity_oracle_iou,purity_pass,scene,step1_oracle_iou,view
5010,5957,0.5008854034910195,True,scene0059_00,0.5970348902017613,2
5011,1321,0.22602409638554216,False,scene0059_00,0.3866875217240181,2
5016,0,0.0,False,scene0059_00,0.0,2
5019,3607,0.4805401111993646,False,scene0059_00,0.4808454425363276,2
6001,17290,0.5370420186151611,True,scene0059_00,0.5204125279216767,2
7007,11710,0.8266041212933489,True,scene0059_00,0.7355836849507735,2
8032,3694,0.41880988401412,False,scene0059_00,0.42451198418581665,2
8033,0,0.0,False,scene0059_00,0.07043286867204696,2
20034,3,0.0,False,scene0059_00,0.025974025974025976,2
5010,4869,0.5808055693684734,True,scene0059_00,0.6257158440141806,3
5011,1311,0.21096224116930573,False,scene0059_00,0.38696109358569925,3
5016,0,0.0,False,scene0059_00,0.0,3
5019,3507,0.4727223131478451,False,scene0059_00,0.4726530612244898,3
6001,15172,0.5414564255902323,True,scene0059_00,0.5096770625967706,3
7007,14250,0.7941600824458949,True,scene0059_00,0.7152394952835968,3
8032,4970,0.3416444613627712,False,scene0059_00,0.3470268242356031,3
8033,0,0.0,False,scene0059_00,0.07750397456279809,3
20031,674,0.007100591715976331,False,scene0059_00,0.109375,3
20034,854,0.5541611624834875,True,scene0059_00,0.6031746031746031,3
8022,5148,0.6148183709393503,True,scene0072_02,0.2547019116813521,2
20031,21271,0.7044963859945556,True,scene0072_02,0.5606901949092535,2
8022,3852,0.5591611479028697,True,scene0072_02,0.18649088163549774,3
20031,18437,0.6162419520640589,True,scene0072_02,0.4892615726876016,3
5015,4068,0.7442033017992952,True,scene0132_01,0.7506353715054567,2
5016,4877,0.5513744654856445,True,scene0132_01,0.3625534188034188,2
5017,46,0.0,False,scene0132_01,0.09090909090909091,2
6013,4920,0.673405299313052,True,scene0132_01,0.674232048522794,2
7012,26443,0.8166370017127313,True,scene0132_01,0.6884171420989784,2
5015,2517,0.6894977168949772,True,scene0132_01,0.756,3
5016,3670,0.4263225074457524,False,scene0132_01,0.2181955099543465,3
5017,515,0.3748180494905386,False,scene0132_01,0.3413734392735528,3
6013,1901,0.5048494129657989,True,scene0132_01,0.5091649694501018,3
7012,24894,0.786089430301262,True,scene0132_01,0.6251700680272109,3
4004,29492,0.7403099472215685,True,scene0472_01,0.5211481776072615,2
4004,40660,0.7288857006217121,True,scene0472_01,0.5627345320030589,3
6002,16572,0.7754724949846901,True,scene0559_01,0.5550273845199959,2
6003,3220,0.7133212152687614,True,scene0559_01,0.4531905657647229,2
7015,0,0.0,False,scene0559_01,0.15297805642633228,2
8013,18715,0.914412981228126,True,scene0559_01,0.8437317215831546,2
20009,985,0.33344617467840215,False,scene0559_01,0.18604651162790697,2
6002,18799,0.6439846416382252,True,scene0559_01,0.6584672259348784,3
6003,4893,0.7955404383975813,True,scene0559_01,0.5281257676246622,3
7015,0,0.0,False,scene0559_01,0.08841295991213619,3
8013,13588,0.4262584633500147,False,scene0559_01,0.39635940600834874,3
20009,1039,0.27349302448012636,False,scene0559_01,0.24386516853932586,3
6006,39140,0.7802860920783748,True,scene0568_02,0.5542924281155233,2
6006,39386,0.7811594202898551,True,scene0568_02,0.5430603857097692,3
5021,8259,0.5250702692900535,True,scene0615_00,0.3216189207195203,2
8001,547,0.02294630564479119,False,scene0615_00,0.08805762081784387,2
13012,20871,0.6877287781070246,True,scene0615_00,0.48577831885341155,2
5021,8165,0.5271275130817956,True,scene0615_00,0.3213176668065464,3
8001,1648,0.03651601316970967,False,scene0615_00,0.09928488275403292,3
13012,20780,0.6995952497442512,True,scene0615_00,0.4850282485875706,3
20017,8069,0.4227825303917154,False,scene0695_00,0.24819460281261876,2
20017,5086,0.10065561126108755,False,scene0695_00,0.04323347466462779,3
