area_ratio_mean_context_over_novel,context_both_below_area,context_iou,frame_id,has_context_column,key,novel_gt_area,purity_oracle_iou,scene,size_bucket,soft_iou,soft_iou_no_area_gate,soft_pass,soft_pred_area,step1_oracle_iou,step1_pass,view
0.7957353190049078,False,0.6606060606060606,511,True,5010,5909,0.5008854034910195,scene0059_00,large,0.5774262607040913,0.5774262607040913,True,7354,0.5970348902017613,True,2
0.9840722059994691,False,0.5470536499560247,511,True,5011,3767,0.22602409638554216,scene0059_00,large,0.5069431586743196,0.5069431586743196,True,4372,0.3866875217240181,False,2
0.5024630541871922,False,0.2536764705882353,511,True,5016,406,0.0,scene0059_00,small,0.24208566108007448,0.24208566108007448,False,261,0.0,False,2
0.982367758186398,False,0.6125188790065447,511,True,5019,1985,0.4805401111993646,scene0059_00,small,0.5801502817783344,0.5801502817783344,True,3062,0.4808454425363276,False,2
0.8762301622484263,False,0.768448307749214,511,True,6001,11279,0.5370420186151611,scene0059_00,large,0.7483847283406755,0.7483847283406755,True,12534,0.5204125279216767,True,2
1.1807151347068146,False,0.8607415291821892,511,True,7007,10096,0.8266041212933489,scene0059_00,large,0.8009380355371155,0.8009380355371155,True,9871,0.7355836849507735,True,2
0.8810139679255043,False,0.4007731958762887,511,True,8032,1933,0.41880988401412,scene0059_00,small,0.39333691563675444,0.39333691563675444,False,3253,0.42451198418581665,False,2
0.859338061465721,False,0.4188388625592417,511,True,8033,423,0.0,scene0059_00,small,0.4274891774891775,0.4274891774891775,False,896,0.07043286867204696,False,2
114.85714285714286,False,0.5465230166503428,511,True,20034,7,0.0,scene0059_00,small,0.017721518987341773,0.017721518987341773,False,395,0.025974025974025976,False,2
1.0072836332476436,False,0.6606060606060606,516,True,5010,4668,0.5808055693684734,scene0059_00,large,0.5893230422897572,0.5893230422897572,True,5216,0.6257158440141806,True,3
1.0128415300546447,False,0.5470536499560247,516,True,5011,3660,0.21096224116930573,scene0059_00,large,0.5403008098727343,0.5403008098727343,True,4328,0.38696109358569925,False,3
0.8326530612244898,False,0.2536764705882353,516,True,5016,245,0.0,scene0059_00,small,0.0957683741648107,0.0957683741648107,False,247,0.0,False,3
1.0306553911205074,False,0.6125188790065447,516,True,5019,1892,0.4727223131478451,scene0059_00,small,0.5743989603638726,0.5743989603638726,True,2954,0.4726530612244898,False,3
1.0323827431317247,False,0.768448307749214,516,True,6001,9573,0.5414564255902323,scene0059_00,large,0.7480864664816217,0.7480864664816217,True,11210,0.5096770625967706,True,3
1.0047623061362103,False,0.8607415291821892,516,True,7007,11864,0.7941600824458949,scene0059_00,large,0.7547450688500186,0.7547450688500186,True,11711,0.7152394952835968,True,3
0.8191438191438192,False,0.4007731958762887,516,True,8032,2079,0.3416444613627712,scene0059_00,small,0.31577909270216964,0.31577909270216964,False,4592,0.3470268242356031,False,3
0.9179292929292929,False,0.4188388625592417,516,True,8033,396,0.0,scene0059_00,small,0.4722921914357683,0.4722921914357683,False,773,0.07750397456279809,False,3
5.915254237288136,False,0.33564567769477055,516,True,20031,177,0.007100591715976331,scene0059_00,small,0.007575757575757576,0.007575757575757576,False,621,0.109375,False,3
0.5363575717144763,False,0.5465230166503428,516,True,20034,1499,0.5541611624834875,scene0059_00,small,0.5759460860549508,0.5759460860549508,True,1541,0.6031746031746031,True,3
1.076067165688853,False,0.6277456647398844,752,True,8022,4943,0.6148183709393503,scene0072_02,large,0.5535796766743649,0.5535796766743649,True,8511,0.2547019116813521,False,2
0.7865071452309738,False,0.8997256515775034,752,True,20031,15045,0.7044963859945556,scene0072_02,large,0.8539963669391463,0.8539963669391463,True,17615,0.5606901949092535,True,2
1.6564933042665837,False,0.6277456647398844,760,True,8022,3211,0.5591611479028697,scene0072_02,large,0.48551181102362206,0.48551181102362206,False,6222,0.18649088163549774,False,3
1.0347149352920602,False,0.8997256515775034,760,True,20031,11436,0.6162419520640589,scene0072_02,large,0.8019635343618513,0.8019635343618513,True,14260,0.4892615726876016,False,3
0.8417994376757263,False,0.6498346196251378,465,True,5015,5335,0.7442033017992952,scene0132_01,large,0.7603485838779956,0.7603485838779956,True,6785,0.7506353715054567,True,2
0.6173762945914845,False,0.48911584476218267,465,True,5016,7821,0.5513744654856445,scene0132_01,large,0.6500505840154511,0.6500505840154511,True,10120,0.3625534188034188,False,2
6.334645669291339,False,0.43595443178660737,465,True,5017,127,0.0,scene0132_01,small,0.14301801801801803,0.14301801801801803,False,888,0.09090909090909091,False,2
2.3717415418746532,False,0.7969001394400944,465,True,6013,3606,0.673405299313052,scene0132_01,large,0.6757744852799692,0.6757744852799692,True,5103,0.674232048522794,True,2
0.9139814111605367,False,0.824012325299879,465,True,7012,27651,0.8166370017127313,scene0132_01,large,0.7901700680272109,0.7901700680272109,True,24980,0.6884171420989784,True,2
1.3197178959741405,False,0.6498346196251378,470,True,5015,3403,0.6894977168949772,scene0132_01,large,0.7119246861924686,0.7119246861924686,True,4780,0.756,True,3
0.7559887271019258,False,0.48911584476218267,470,True,5016,6387,0.4263225074457524,scene0132_01,large,0.5760310630706265,0.5760310630706265,True,8631,0.2181955099543465,False,3
0.5855167394468704,False,0.43595443178660737,470,True,5017,1374,0.3748180494905386,scene0132_01,small,0.4638135003479471,0.4638135003479471,False,2833,0.3413734392735528,False,3
8.16857688634193,False,0.7969001394400944,470,True,6013,1047,0.5048494129657989,scene0132_01,small,0.4978334135772749,0.4978334135772749,False,2064,0.5091649694501018,True,3
1.049653195996179,False,0.824012325299879,470,True,7012,24077,0.786089430301262,scene0132_01,large,0.785931231017286,0.785931231017286,True,23552,0.6251700680272109,True,3
1.2120797234816179,False,0.7588657760577532,105,True,4004,22277,0.7403099472215685,scene0472_01,large,0.6983564393701776,0.6983564393701776,True,31870,0.5211481776072615,True,2
0.8533436571645282,False,0.7588657760577532,120,True,4004,31642,0.7288857006217121,scene0472_01,large,0.7090798045602605,0.7090798045602605,True,43913,0.5627345320030589,True,3
1.0593235242394043,False,0.8013064305414429,242,True,6002,17059,0.7754724949846901,scene0559_01,large,0.7011315061604224,0.7011315061604224,True,16768,0.5550273845199959,True,2
2.596802841918295,False,0.7511801242236025,242,True,6003,3378,0.7133212152687614,scene0559_01,large,0.7236409608091025,0.7236409608091025,True,3439,0.4531905657647229,False,2
1.423392612859097,False,0.25698637831765203,242,True,7015,731,0.0,scene0559_01,small,0.23131215912736605,0.23131215912736605,False,3107,0.15297805642633228,False,2
0.498389601426353,False,0.933557010065453,242,True,8013,17387,0.914412981228126,scene0559_01,large,0.9156319643425661,0.9156319643425661,True,18715,0.8437317215831546,True,2
1.1848341232227488,False,0.5445610528069299,242,True,20009,2954,0.33344617467840215,scene0559_01,small,0.4730941704035874,0.4730941704035874,False,5587,0.18604651162790697,False,2
0.6584921473599825,False,0.8013064305414429,260,True,6002,27443,0.6439846416382252,scene0559_01,large,0.6804020100502512,0.6804020100502512,True,19373,0.6584672259348784,True,3
1.9032328053807768,False,0.7511801242236025,260,True,6003,4609,0.7955404383975813,scene0559_01,large,0.7149606299212599,0.7149606299212599,True,5192,0.5281257676246622,True,3
1.0552738336713996,False,0.25698637831765203,260,True,7015,986,0.0,scene0559_01,small,0.22322651328403179,0.22322651328403179,False,3480,0.08841295991213619,False,3
