bucket,counterfactual_background_mass_in_gt_stuff,counterfactual_background_mass_in_gt_thing,counterfactual_best_group,counterfactual_best_gt_area,counterfactual_best_iou,counterfactual_best_precision,counterfactual_best_pred_area,counterfactual_best_recall,counterfactual_best_soft_dice,counterfactual_conservation_error,counterfactual_group_mass_in_gt_stuff,counterfactual_group_mass_in_gt_thing,counterfactual_gt_free_detected,counterfactual_gt_free_fp,counterfactual_n_gt_free_predictions,gt_stuff_area,gt_thing_area,instance_key,kind,original_background_mass_in_gt_stuff,original_background_mass_in_gt_thing,original_best_group,original_best_gt_area,original_best_iou,original_best_precision,original_best_pred_area,original_best_recall,original_best_soft_dice,original_conservation_error,original_group_mass_in_gt_stuff,original_group_mass_in_gt_thing,original_gt_free_detected,original_gt_free_fp,original_n_gt_free_predictions,role,scene,view
mid,0.0,0.0,22,6621,0.34173980668814574,0.5637829912023461,5456,0.46458238936716506,0.5513961911201477,1.4901161193847656e-06,0.997901439666748,0.9935407638549805,False,7,7,42417,6621,18009,context,0.5382260680198669,0.19453772902488708,22,6621,0.357412469087596,0.7211134453781513,3808,0.4147409756834315,0.5449634790420532,1.4901161193847656e-06,0.4596753716468811,0.7990031242370605,False,5,5,failure,scene0009_00,0
mid,0.0,0.0,14,6895,0.24633451462719755,0.3210759894937053,11041,0.514140681653372,0.6364908218383789,1.2516975402832031e-06,0.9811389446258545,0.9265199303627014,False,5,5,38079,6895,18009,context,0.544426441192627,0.25229835510253906,14,6895,0.15268564091589984,0.36797318205260443,3878,0.2069615663524293,0.6504859924316406,1.3709068298339844e-06,0.4367125332355499,0.6742215752601624,False,4,4,failure,scene0009_00,1
mid,0.0,0.0,22,323,0.019478527607361962,0.02008222643896268,6324,0.3931888544891641,0.9643563032150269,1.3709068298339844e-06,0.9975827932357788,0.9742295742034912,False,7,7,50834,323,18009,novel,0.49478891491889954,0.3034723699092865,22,323,0.023681377825618945,0.024819494584837544,4432,0.34055727554179566,0.9581232666969299,1.4901161193847656e-06,0.5027939677238464,0.6707573533058167,False,5,5,failure,scene0009_00,2
mid,0.0,0.0,14,1504,0.10122844318450272,0.10960480879907916,7819,0.569813829787234,0.8316034078598022,1.3709068298339844e-06,0.988376796245575,0.9841040968894958,False,6,6,47791,1504,18009,novel,0.4576917886734009,0.22771818935871124,22,1504,0.034564254062038405,0.042545454545454546,5500,0.15558510638297873,0.8862681984901428,1.5497207641601562e-06,0.5306849479675293,0.756385862827301,False,5,5,failure,scene0009_00,3
mid,0.0,0.0,90,9783,0.7321458578390186,0.8043939813532724,10833,0.8907288152918328,0.2312988042831421,1.3709068298339844e-06,0.9998182058334351,0.9987727999687195,True,5,6,11800,9783,8017,context,0.5049222707748413,0.17538316547870636,90,9783,0.6656462259638382,0.9121657052962768,7628,0.7112337728713074,0.28739386796951294,1.1920928955078125e-06,0.49489593505859375,0.8233895897865295,True,4,5,failure,scene0012_01,0
mid,0.0,0.0,90,1770,0.45701006971340047,0.45701006971340047,3873,1.0,0.1410878300666809,1.3709068298339844e-06,0.9505512118339539,0.9998946785926819,False,6,6,3692,1770,8017,context,0.26738110184669495,0.09977611899375916,90,1770,0.550561797752809,0.551594746716698,3198,0.9966101694915255,0.1836848258972168,1.4901161193847656e-06,0.6831700801849365,0.9001185297966003,True,5,6,failure,scene0012_01,1
mid,0.0,0.0,90,7755,0.7364740944520862,0.8689477955098729,7394,0.8284977433913604,0.22132784128189087,1.1324882507324219e-06,0.9979937076568604,0.9988976120948792,True,5,6,8757,7755,8017,novel,0.44860273599624634,0.16951416432857513,90,7755,0.6326707000864304,0.9370885149963424,5468,0.6607350096711799,0.29191774129867554,1.1920928955078125e-06,0.549390971660614,0.8293834328651428,True,5,6,failure,scene0012_01,2
mid,0.0,0.0,90,1497,0.44954954954954957,0.44954954954954957,3330,1.0,0.13577264547348022,1.2516975402832031e-06,0.9608519673347473,0.9998945593833923,False,6,6,4497,1497,8017,novel,0.3137649595737457,0.11221485584974289,90,1497,0.5227272727272727,0.5274095306341813,2791,0.9832999331997327,0.18387198448181152,1.2516975402832031e-06,0.6470869779586792,0.8876797556877136,True,5,6,failure,scene0012_01,3
mid,0.0,0.0,65,3665,0.06369280294320534,0.08136688534221091,10213,0.2267394270122783,0.776870846748352,1.3709068298339844e-06,0.9998182058334351,0.9998947381973267,False,6,6,11800,3665,8001,context,0.5049222707748413,0.08646555989980698,65,3665,0.048014605203103605,0.0672978505629478,7816,0.14351978171896315,0.7698838114738464,1.1920928955078125e-06,0.49489593505859375,0.9134292602539062,False,5,5,failure,scene0012_01,0
mid,0.0,0.0,62,4082,0.026387574458609363,0.033019853709508884,14355,0.11611954924056835,0.8182353377342224,1.3709068298339844e-06,0.9505512118339539,0.999894917011261,False,6,6,3692,4082,8001,context,0.26738110184669495,0.19751575589179993,65,4082,0.006189821182943604,0.009446339543426921,7622,0.017638412542871143,0.8202816843986511,1.4901161193847656e-06,0.6831700801849365,0.8023791313171387,False,6,6,failure,scene0012_01,1
