context_visible,group,gt_area,key,oracle_iou,oracle_pred_area,scene,variant,view
True,training,332,8020,0.0023569023569023568,2645,scene0012_01,g0plus_step6000,2
True,training,4838,8001,0.5860921352250832,4217,scene0012_01,g0plus_step6000,3
True,training,1497,8017,0.09843503419253025,15208,scene0012_01,g0plus_step6000,3
True,training,27870,8019,0.6661472246957554,39489,scene0012_01,g0plus_step6000,3
True,training,433,8020,0.0,2877,scene0012_01,g0plus_step6000,3
True,training,323,18009,0.02317405653608839,13938,scene0009_00,g0plus_step6000,2
True,training,12236,20017,0.23614404117778184,48764,scene0009_00,g0plus_step6000,2
True,training,1504,18009,0.05538370894093386,27156,scene0009_00,g0plus_step6000,3
True,training,12316,20017,0.27983663176360946,34375,scene0009_00,g0plus_step6000,3
True,training,16505,5010,0.6550543784392738,21692,scene0001_01,g0plus_step6000,2
True,training,5775,5018,0.40357220334080557,13635,scene0001_01,g0plus_step6000,2
True,training,12691,6002,0.5254390495867769,22748,scene0001_01,g0plus_step6000,2
True,training,915,7006,0.0,0,scene0001_01,g0plus_step6000,2
True,training,149,7007,0.04640151515151515,3166,scene0001_01,g0plus_step6000,2
True,training,16394,5010,0.7045959970348407,20398,scene0001_01,g0plus_step6000,3
True,training,6389,5018,0.4229144289294665,13482,scene0001_01,g0plus_step6000,3
True,training,11064,6002,0.5095923261390888,20411,scene0001_01,g0plus_step6000,3
True,training,724,7007,0.11372635283765949,4339,scene0001_01,g0plus_step6000,3
True,unseen,5909,5010,0.6505969300739056,8608,scene0059_00,g0_step6000,2
True,unseen,3767,5011,0.22775881683731514,1629,scene0059_00,g0_step6000,2
True,unseen,406,5016,0.0,0,scene0059_00,g0_step6000,2
True,unseen,1985,5019,0.4579115610015983,3488,scene0059_00,g0_step6000,2
True,unseen,11279,6001,0.5546522131887985,19699,scene0059_00,g0_step6000,2
True,unseen,10096,7007,0.6860457087619968,14323,scene0059_00,g0_step6000,2
