alpha_coverage_in_gt,best_group,best_group_kept,best_iou,bucket,checkpoint,conservation_error,full_pixel_argmin_group,gt_area,gt_free_detected,instance_key,kind,mask_grad_norm,matched_group,matched_iou,matched_is_thing_class,matched_p_thing,matched_precision,matched_pred_area,matched_recall,matched_soft_dice,mean_background_mass_in_gt,mean_group_mass_in_gt,positive_sampled_points,role,sampled_bce,sampled_dice,scene,view
0.9998601675033569,65,True,0.351619755708975,mid,g0_step3000,1.4901161193847656e-06,65,6621,False,18009,context,140.31480407714844,92,0.0,True,0.8007431030273438,0.0,577,0.0,0.8898859024047852,5.832908483473231e-13,0.9998601078987122,404,failure,0.47799113392829895,0.8677283525466919,scene0009_00,0
0.32753172516822815,92,True,0.05108576784877363,mid,g0_step3000,1.5497207641601562e-06,65,6895,False,18009,context,140.31480407714844,92,0.05108576784877363,True,0.8007431030273438,0.07382045300624576,13289,0.14227701232777376,0.805456280708313,2.4469356662421005e-12,0.32753175497055054,404,failure,0.47799113392829895,0.8677283525466919,scene0009_00,1
0.9998438954353333,65,True,0.01887012911140971,mid,g0_step3000,1.5497207641601562e-06,65,323,False,18009,novel,140.31480407714844,92,0.0,True,0.8007431030273438,0.0,388,0.0,0.9738479852676392,1.2867847131397105e-15,0.9998438954353333,404,failure,0.47799113392829895,0.8677283525466919,scene0009_00,2
0.5820809006690979,92,True,0.030012610340479192,mid,g0_step3000,1.6093254089355469e-06,65,1504,False,18009,novel,140.31480407714844,92,0.030012610340479192,True,0.8007431030273438,0.03571428571428571,6664,0.15824468085106383,0.8936008810997009,4.464589962782433e-16,0.5820808410644531,404,failure,0.47799113392829895,0.8677283525466919,scene0009_00,3
0.9997450113296509,35,True,0.27508027634523696,mid,g0_step6000,1.3113021850585938e-06,59,6621,False,18009,context,122.74581146240234,35,0.27508027634523696,True,0.8124828338623047,0.43606355082523524,6483,0.4269747772239843,0.4574902057647705,1.9880035118102768e-11,0.9997450113296509,404,failure,0.4424581527709961,0.7691079378128052,scene0009_00,0
0.9385783076286316,59,True,0.23870900136225506,mid,g0_step6000,1.1920928955078125e-06,59,6895,False,18009,context,122.74581146240234,35,0.0,True,0.8124828338623047,0.0,7725,0.0,0.9442175626754761,1.1299093578094263e-13,0.9385783076286316,404,failure,0.4424581527709961,0.7691079378128052,scene0009_00,1
0.9998955726623535,35,True,0.0297045101088647,mid,g0_step6000,1.3113021850585938e-06,59,323,False,18009,novel,122.74581146240234,35,0.0297045101088647,True,0.8124828338623047,0.030327087964433154,6298,0.5913312693498453,0.9505876898765564,1.2765256516764079e-12,0.9998955726623535,404,failure,0.4424581527709961,0.7691079378128052,scene0009_00,2
0.989849865436554,52,True,0.05556939945178171,mid,g0_step6000,1.1920928955078125e-06,59,1504,False,18009,novel,122.74581146240234,35,0.0,True,0.8124828338623047,0.0,7625,0.0,0.9289711713790894,3.486317950909118e-13,0.9898498058319092,404,failure,0.4424581527709961,0.7691079378128052,scene0009_00,3
0.994898796081543,22,True,0.4368159203980099,mid,g0plus_step3000,1.3113021850585938e-06,22,6621,False,18009,context,0.26432400941848755,22,0.4368159203980099,True,0.9491613507270813,0.619764705882353,6375,0.5967376529225192,0.5437217950820923,0.3190929591655731,0.6758058071136475,404,failure,0.37510982155799866,0.7335388660430908,scene0009_00,0
0.5679177045822144,22,True,0.14662425610506874,mid,g0plus_step3000,1.1920928955078125e-06,22,6895,False,18009,context,0.26432400941848755,22,0.14662425610506874,True,0.9491613507270813,0.1849239728243287,15455,0.4145032632342277,0.775692343711853,0.1126343160867691,0.45528337359428406,404,failure,0.37510982155799866,0.7335388660430908,scene0009_00,1
0.9121337532997131,22,True,0.036141304347826086,mid,g0plus_step3000,1.3113021850585938e-06,22,323,False,18009,novel,0.26432400941848755,22,0.036141304347826086,True,0.9491613507270813,0.036423387648911405,7303,0.8235294117647058,0.9700685739517212,0.29115772247314453,0.6209759712219238,404,failure,0.37510982155799866,0.7335388660430908,scene0009_00,2
0.915041446685791,22,True,0.10987726475745178,mid,g0plus_step3000,1.1920928955078125e-06,22,1504,False,18009,novel,0.26432400941848755,22,0.10987726475745178,True,0.9491613507270813,0.10987726475745178,13688,1.0,0.8771505355834961,0.1254185140132904,0.789622962474823,404,failure,0.37510982155799866,0.7335388660430908,scene0009_00,3
0.99354088306427,22,True,0.357412469087596,mid,g0plus_step6000,1.430511474609375e-06,14,6621,False,18009,context,1.1398488283157349,14,0.0,True,0.8985614776611328,0.0,1122,0.0,0.759861946105957,0.19453772902488708,0.7990031242370605,404,failure,0.2757059335708618,0.7478368282318115,scene0009_00,0
0.9265199303627014,14,True,0.15268564091589984,mid,g0plus_step6000,1.3709068298339844e-06,14,6895,False,18009,context,1.1398488283157349,14,0.15268564091589984,True,0.8985614776611328,0.36797318205260443,3878,0.2069615663524293,0.6504858732223511,0.25229835510253906,0.6742216348648071,404,failure,0.2757059335708618,0.7478368282318115,scene0009_00,1
0.9742296934127808,22,True,0.023681377825618945,mid,g0plus_step6000,1.4901161193847656e-06,14,323,False,18009,novel,1.1398488283157349,14,0.0,True,0.8985614776611328,0.0,315,0.0,0.9500206708908081,0.3034723699092865,0.6707572937011719,404,failure,0.2757059335708618,0.7478368282318115,scene0009_00,2
